來源文字 ID,譯文 — 英文,譯文 — 閩南語（台灣）,譯文 — 中文（繁體）
setting.about.option-insider-build-description,Auto-update to insider builds to try out new features. Note that these builds are bleeding edge and might be less stable.,Auto-update to insider builds to try out new features. Note that these builds are bleeding edge and might be less stable.,自動更新至內測版本以體驗最新功能。請注意，內測版本可能不太穩定。
setting.about.option-advanced,Advanced,Advanced,進階
setting.about.option-hw-acceleration,Hardware Acceleration,Hardware Acceleration,硬體加速
setting.about.option-hw-acceleration-description,"Turns on Hardware Acceleration, which uses your GPU to make Obsidian smoother.","Turns on Hardware Acceleration, which uses your GPU to make Obsidian smoother.",開啟硬體加速，亦即使用 GPU 讓 Obsidian 能執行得更順暢。
setting.about.option-hw-acceleration-warning,"If you turn this off, app performance will be severely degraded.","If you turn this off, app performance will be severely degraded.",若您關閉此選項，應用程式將會嚴重變慢。
setting.about.option-config-location,Override config folder,Override config folder,覆蓋設定資料夾
setting.about.option-config-location-description,Use a different config folder than the default one. Must start with a dot.,Use a different config folder than the default one. Must start with a dot.,用不同資料夾取代預設資料夾。資料夾必須以 . 開頭。
setting.about.option-config-location-warning,Config location must be a valid folder name that starts with a dot.,Config location must be a valid folder name that starts with a dot.,設定資料夾必須有效，且以 . 開頭。
setting.about.label-license,License,License,授權
setting.about.label-your-commercial-license-key,"Your commercial license key is ""{{key}}"".","Your commercial license key is ""{{key}}"".",您的商業授權金鑰為：「{{key}}」。
setting.about.label-commercial-license-info,"Registered to ""{{company}}"" for {{seats}} users. Valid until {{expiry}}.","Registered to ""{{company}}"" for {{seats}} users. Valid until {{expiry}}.",註冊給使用者：「{{company}}」 - {{seats}} 。有效期至 {{expiry}}。
setting.about.label-validating-commercial-license,Validating...,Validating...,正在驗證……
setting.about.label-invalid-commercial-license,License invalid:,License invalid:,授權無效：
setting.about.button-remove-commercial-license,Remove,Remove,移除
setting.about.option-catalyst,Catalyst license,Catalyst license,Catalyst 授權
setting.about.option-catalyst-desc,You currently have the {{tier}} Catalyst license. Thanks for your support!,You currently have the {{tier}} Catalyst license. Thanks for your support!,您目前的 Catalyst 授權為層級 {{tier}}。感謝您的支持！
setting.about.option-catalyst-desc-no-license,You don't have a Catalyst license right now. Catalyst license is a one-time donation to support Obsidian development.,You don't have a Catalyst license right now. Catalyst license is a one-time donation to support Obsidian development.,您目前沒有 Catalyst 授權，Catalyst 授權是一次性的贊助，以支持 Obsidian 的開發。
setting.about.label-app,App,App,應用程式
setting.account.name,Account,Account,帳號
setting.account.option-your-account,Your account,Your account,您的帳號
setting.account.option-your-account-desc,You're currently signed in {{name}} ({{email}}).,You're currently signed in {{name}} ({{email}}).,您目前的登入身分：{{name}} ({{email}})。
setting.account.option-your-account-desc-no-login,"You're not logged in right now. An account is only needed for Obsidian Sync, Obsidian Publish, and Catalyst insider builds.","You're not logged in right now. An account is only needed for Obsidian Sync, Obsidian Publish, and Catalyst insider builds.",您尚未登入。僅 Obsidian Sync、Obsidian Publish，和 Catalyst 內測版本會需要您登入帳號。
setting.account.button-manage-settings,Manage settings,Manage settings,管理設定
setting.account.label-insider,insider,insider,內測人士
setting.account.label-supporter,supporter,supporter,贊助者
setting.account.label-vip,VIP,VIP,VIP
setting.account.button-upgrade-catalyst,Upgrade,Upgrade,升級
setting.account.option-commercial-license,Commercial license,Commercial license,商業授權
setting.account.option-commercial-license-desc,"If you use Obsidian for commercial purposes, you may need to get a commercial license.","If you use Obsidian for commercial purposes, you may need to get a commercial license.",如果您將 Obsidian 用於商業目的，您可能需要取得商業授權。
setting.account.button-purchase,Purchase,Purchase,購買
setting.account.button-log-out,Log out,Log out,登出
setting.account.label-log-in,Log in,Log in,登入
setting.account.label-sign-up,Sign up,Sign up,註冊
setting.account.label-email,Email,Email,電子郵件地址
setting.account.placeholder-email,Your email...,Your email...,您的電子郵件地址……
setting.account.label-password,Password,Password,密碼
setting.account.placeholder-password,Your password...,Your password...,您的密碼……
setting.account.button-login,Login,Login,登入
setting.account.message-empty-email,Email cannot be empty.,Email cannot be empty.,電子郵件地址不能留空。
setting.account.message-invalid-email,Email is not valid.,Email is not valid.,電子郵件地址無效。
setting.account.message-empty-password,Password cannot be empty.,Password cannot be empty.,密碼不能留空。
setting.account.message-login-failed,"Login failed, please double-check your email and password.","Login failed, please double-check your email and password.",登入失敗。請檢查您的電子郵件地址與密碼。
setting.account.label-no-account,Don't have an account?,Don't have an account?,沒有帳號？
setting.account.link-sign-up-now,Sign up now,Sign up now,現在註冊
setting.core-plugin.plugin-list,Plugin list,Plugin list,外掛程式清單
setting.core-plugin.option-search-plugin,Search core plugins,Search core plugins,搜尋核心外掛程式
setting.core-plugin.option-search-plugin-description,Filter plugins by name or description.,Filter plugins by name or description.,以名稱或描述過濾外掛程式。
setting.core-plugin.placeholder-search-plugin,Search plugins...,Search plugins...,搜尋外掛程式……
setting.third-party-plugin.name,Third-party plugin,Third-party plugin,第三方外掛程式
setting.third-party-plugin.option-restricted-mode,Restricted mode,Restricted mode,受限模式
setting.third-party-plugin.option-restricted-mode-description,Restricted Mode is off. Turn on to disable community plugins.,Restricted Mode is off. Turn on to disable community plugins.,受限模式已關閉，請開啟以停用社群外掛程式。
setting.third-party-plugin.button-turn-on,Turn on,Turn on,開啟
setting.third-party-plugin.option-browse-community-plugins,Community plugins,Community plugins,社群外掛程式
setting.third-party-plugin.option-browse-community-plugins-description,Browse and install third-party plugins made by our amazing community.,Browse and install third-party plugins made by our amazing community.,瀏覽並安裝我們令人嘆服的社群所製作的第三方外掛程式。
setting.third-party-plugin.button-browse,Browse,Browse,瀏覽
setting.third-party-plugin.label-exit-restricted-mode,Exit Restricted Mode,Exit Restricted Mode,離開受限模式
setting.third-party-plugin.label-exit-restricted-mode-description-1,"Community plugins, like any other software you install, could potentially cause data integrity and security issues.","Community plugins, like any other software you install, could potentially cause data integrity and security issues.",如同您安裝的任何其他軟體，社群外掛程式也有可能會導致資料完整性和安全性問題。
setting.third-party-plugin.label-exit-restricted-mode-description-2,Plugin security is important to us. Here's what we do:,Plugin security is important to us. Here's what we do:,我們很重視外掛程式安全性。以下是我們的作法：
setting.third-party-plugin.label-exit-restricted-mode-description-3,"Despite our efforts, there is still a small chance that a community plugin might misbehave.","Despite our efforts, there is still a small chance that a community plugin might misbehave.",儘管我們盡心竭力，社群外掛程式故障仍不無可能。
setting.third-party-plugin.label-code-review,Initial code review,Initial code review,初始程式碼檢閱
setting.third-party-plugin.label-code-review-desc,Plugins undergo an initial code review by our team before they appear in the store.,Plugins undergo an initial code review by our team before they appear in the store.,外掛程式在上架前須先讓我們的團隊進行初始程式碼檢閱。
